Pressure,Rs,bo,bg,OilViscosity,GasViscosity,OilDensity,GasDensity
7600,3620.717063,2.576556123,0.002836183,0.207293933,0.046872294,34.37655471,21.80979593
7533.333333,3620.717063,2.579112778,0.002845134,0.206069355,0.046613916,34.34247749,21.7411772
7466.666667,3620.717063,2.581717692,0.002854241,0.204848056,0.0463544,34.30782645,21.67181192
7400,3620.717063,2.584372244,0.002863506,0.20363021,0.046093743,34.27258697,21.60168722
7333.333333,3620.717063,2.587077866,0.002872935,0.202415993,0.045831938,34.23674397,21.53078991
7266.666667,3620.717063,2.589836042,0.002882532,0.20120558,0.045568981,34.20028182,21.4591065
7200,3620.717063,2.592648319,0.002892302,0.199999149,0.045304868,34.16318436,21.38662318
7133.333333,3620.717063,2.595516302,0.002902248,0.198796876,0.045039594,34.12543487,21.3133258
7066.666667,3620.717063,2.598441661,0.002912377,0.197598939,0.044773154,34.08701602,21.23919987
7000,3620.717063,2.601426132,0.002922694,0.196405516,0.044505543,34.04790989,21.16423056
6933.333333,3620.717063,2.604471525,0.002933203,0.195216786,0.044236758,34.00809787,21.08840266
6866.666667,3620.717063,2.607579721,0.00294391,0.194032926,0.043966794,33.96756073,21.01170058
6800,3620.717063,2.610752682,0.002954822,0.192854118,0.043695646,33.92627848,20.93410838
6733.333333,3620.717063,2.613992449,0.002965944,0.191680541,0.043423311,33.88423044,20.85560967
6666.666667,3620.717063,2.617301154,0.002977282,0.190512376,0.043149785,33.84139513,20.77618768
6600,3620.717063,2.620681017,0.002988843,0.189349805,0.042875063,33.79775026,20.69582522
6533.333333,3620.717063,2.624134357,0.003000633,0.188193008,0.042599143,33.75327269,20.61450465
6466.666667,3620.717063,2.627663591,0.00301266,0.187042169,0.04232202,33.70793842,20.53220787
6400,3620.717063,2.631271247,0.003024931,0.185897471,0.042043691,33.6617225,20.44891631
6333.333333,3620.717063,2.634959964,0.003037454,0.184759098,0.041764153,33.61459898,20.36461094
6266.666667,3620.717063,2.638732502,0.003050236,0.183627234,0.041483403,33.56654092,20.2792722
6200,3620.717063,2.642591747,0.003063286,0.182502066,0.041201436,33.5175203,20.19288
6133.333333,3620.717063,2.646540718,0.003076612,0.181383779,0.040918252,33.46750795,20.10541371
6066.666667,3620.717063,2.650582577,0.003090224,0.180272561,0.040633846,33.41647353,20.0168521
6000,3620.717063,2.654720635,0.003104131,0.1791686,0.040348216,33.36438545,19.92717329
5933.333333,3620.717063,2.658958363,0.003118343,0.178072086,0.040061358,33.31121079,19.8363547
5866.666667,3620.717063,2.6632994,0.003132871,0.176983208,0.03977327,33.25691528,19.74437293
5800,3620.717063,2.667747565,0.003147724,0.175902159,0.039483947,33.20146317,19.65120367
5733.333333,3620.717063,2.672306865,0.003162915,0.174829131,0.039193383,33.14481719,19.55682148
5666.666667,3620.717063,2.676981513,0.003178456,0.173764317,0.038901573,33.08693844,19.4611996
5600,3620.717063,2.681775934,0.003194359,0.172707915,0.038608507,33.02778633,19.3643096
5533.333333,3620.717063,2.686694782,0.003210639,0.17166012,0.038314172,32.96731847,19.26612102
5466.666667,3620.717063,2.691742958,0.00322731,0.170621132,0.038018552,32.90549057,19.16660087
5400,3620.717063,2.696925619,0.003244388,0.16959115,0.037721624,32.84225634,19.06571304
5333.333333,3620.717063,2.702248203,0.003261889,0.168570378,0.037423356,32.77756737,18.9634176
5266.666667,3620.717063,2.707716443,0.003279833,0.167559019,0.03712371,32.71137299,18.85967
5200,3620.717063,2.713336389,0.003298239,0.166557279,0.036822635,32.64362018,18.75442019
5133.333333,3620.717063,2.719114431,0.003317131,0.165565368,0.036520066,32.57425341,18.64761163
5066.666667,3620.717063,2.725057321,0.003336532,0.164583497,0.036215926,32.50321446,18.53918027
5000,3620.717063,2.731172201,0.00335647,0.163611879,0.035910117,32.43044231,18.42905356
4933.333333,3620.717063,2.737466632,0.003376976,0.16265073,0.035602525,32.35587294,18.31714935
4866.666667,3620.717063,2.743948621,0.003398082,0.161700271,0.035293018,32.27943915,18.20337502
4800,3620.717063,2.750626659,0.003419828,0.160760724,0.03498144,32.20107034,18.08762655
4733.333333,3620.717063,2.757509758,0.003442253,0.159832314,0.034667616,32.12069233,17.96978781
4666.666667,3620.717063,2.764607486,0.003465406,0.158915272,0.034351353,32.03822712,17.84973006
4600,3620.717063,2.771930017,0.003489337,0.158009832,0.034032436,31.95359262,17.72731151
4533.333333,3620.717063,2.779488176,0.003514103,0.157116231,0.033710634,31.8667024,17.60237728
4466.666667,3620.717063,2.787293493,0.003539766,0.15623471,0.0333857,31.77746539,17.47475944
4400,2122.750163,2.077231295,0.003566396,0.203611204,0.033057377,34.78114499,17.34427742
4333.333333,2084.086143,2.058854283,0.003594068,0.20546636,0.032725398,34.88694086,17.21073857
4266.666667,2045.543282,2.040534858,0.003622864,0.207365996,0.032389493,34.99430186,17.073939
4200,2007.123085,2.022273735,0.003652875,0.209311854,0.032049393,35.10325702,16.93366461
4133.333333,1968.8271,2.00407165,0.003684199,0.211305771,0.031704833,35.21383592,16.78969234
4066.666667,1930.656919,1.985929359,0.003716941,0.213349686,0.031355561,35.32606861,16.6417916
4000,1892.614182,1.967847642,0.003751219,0.215445647,0.03100134,35.43998565,16.48972582
